*,2004 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
2004 SVX,300,35,7.5,27-31,50-70,65/80,Single,0,0,0
Fatal Impact One Cam,290,34,7.25,27-31,40-70,65/80,Single,0,0,0
Fatal Impact Twin,300,34,7.25,27-30,40-70,65,Twin,0,0,0
Impact Extreme Stalker,295,34,6.5,23-30,40-70,65,Twin,0,0,0
Impact Extreme One,285,34,6.5,26-30,40-70,65/80,Single,0,0,0
Micro Youth - Black,260,34,5.5,21-28,20-50,65,Twin,0,0,0
Micro Youth - Camo,260,34,5.5,21-28,20-50,65,Twin,0,0,0
Ravage,285,29,7.5,25-29,40-70,65/80,Single,0,0,0
RVX Fast-Trac,305,35,6.5,26-30,40-70,65/80,Single,0,0,0
RVX Twin Force,315,35,6.5,27-30,40-70,65,Twin,0,0,0
VX Stealth,305,33.5,6.75,27-31,40-70,65/80,Single,0,0,0
-,Archery Research
AR31 - Ram.5,300,31,8.5,26-30,50-70,70,Hybrid,0,0,0
AR31 - Ram Cam,300,31,8.5,25-30,50-70,70,Single,0,0,0
AR34 - Ram.5,309,34,8,26-30,50-70,70,Hybrid,0,0,0
AR34 - Ram Cam,309,34,8,25-30,50-70,70,Single,0,0,0
AR37 - Ram.5,312,37,7,26-30,50-70,70,Hybrid,0,0,0
AR37 - Ram Cam,312,37,7,25-30,50-70,70,Single,0,0,0
-,Bear
Buckmasters G2,309,31,7.5,23-30,40-70,65/70,Single,0,0,0
Buckmasters G2SL,300,30,7.5,24-31,50-70,65/70,Single,0,0,0
Buckmasters G2XL,309,35,7.5,24-31,40-70,65/70,Single,0,0,0
Buckmasters Young Bucks,170,30,7,20-22,17-22,65,Twin,0,0,0
Mossy Oak 32,293,32.75,7.75,27-31,50-70,65/75,Single,0,0,0
Mossy Oak 36,290,36,8.13,28-32,50-70,65/75,Single,0,0,0
Mossy Oak Obsession,294,34,7.63,27-31,40-70,65/75,Single,0,0,0
Mossy Oak Reaper,292,36.13,6.88,28-30,50-70,65,Single,0,0,0
Mossy Oak Sparrowhawk II,278,36.5,7,24-28,30-50,70,Twin,0,0,0
Realtree Badge (High),210,34.88,7.13,24-27,35-45,65,Twin,0,0,0
Realtree Badge (Low),160,34.88,7.13,20-23,15-25,65,Twin,0,0,0
Realtree TRX,305,35.88,6.63,24-31,40-70,65/75,Single,0,0,0
Realtree TRX 32,303,32,7.5,24-31,40-70,65/75,Single,0,0,0
Realtree Vapor,302,34.25,7.25,24-31,40-70,65/75,Single,0,0,0
-,Bowtech
Black Knight,350,36.25,5.75,25-30,40-70,65,Twin,0,0,0
BlackHawk,317,28.88,8,25-30,30-70,65-80,Single,0,0,0
BlackHawk 2,270,29,7.5,20-26,20-60,65/80,Single,0,0,0
Extreme VFT,333,34.06,6.63,25-30,30-70,65-80,Single,0,0,0
Justice VFT,304,31.25,8,25-30,40-80,65-80,Single,0,0,0
LadyHawk,270,29,7.5,20-26,20-60,65/80,Single,0,0,0
Liberty VFT,308,33.25,7.5,25-30,40-80,65-80,Single,0,0,0
Mighty Mite VFT,322,30.5,7.75,25-30,40-70,65-80,Single,0,0,0
Patriot VFT,328,33,7,25-30,40-80,65-80,Single,0,0,0
Patriot VFT Dually,334,35.13,7.63,26-31,40-70,65,Twin,0,0,0
Pro 40 Dually,336,37.13,7,26-31,40-70,65,Twin,0,0,0
Pro 40 Freedom,300,37.5,8.25,27-32,40-70,65-80,Single,0,0,0
Pro 40 Wheely,312,38,7.25,23-30,30-80,65/80,Twin,0,0,0
Rascal,262,24.5,7.25,19-25,25-40,65/80,Single,0,0,0
Samson VFT,333,34.06,6.63,25-30,70-100,65-80,Single,0,0,0
TomKat,292,31,9.13,27-32,50-70,65-80,Single,0,0,0
-,Browning
Adrenaline SX,310,33,6.5,29-31,50-70,70,Twin,0,0,0
F5 Tornado,290,33,8.25,24-30,40-70,70,Single,0,0,0
Micro Adren XS,280,32,6.25,18-28,30-50,70,Twin,0,0,0
Micro Midas III,275,32,6.25,18-28,20-40,70,Twin,0,0,0
Mirage ZX,285,33,7.25,26-30,50-70,65/75,Single,0,0,0
Rage,290,35.5,8,21-31,45-65,70,Twin,0,0,0
Rage One,282,36.5,8.5,25-31,40-70,70,Single,0,0,0
-,Champion
Badger,225,34,6.88,22-29,25-45,65/80,Single,0,0,0
Diablo ETS,318,35.63,7.25,26-30.5,40-70,80,Hybrid,0,0,0
Diablo G3,306,35.25,7.13,26-30,40-70,65-80,Single,0,0,0
Eagle ETS,306,35.13,7.13,26.5-31,40-70,80,Hybrid,0,0,0
Eagle G3,298,34.31,7.75,27-31,40-70,65-80,Single,0,0,0
Eclipse,260,33.75,7.13,24-31,30-50,65-80,Single,0,0,0
Liberty ETS,310,40,7.25,27.5-32,40-70,80,Hybrid,0,0,0
Liberty G2,310,40,7.38,28-32,40-70,65-80,Single,0,0,0
