*,2022 Fletch
=,MFG,MDL,GRS,LEN,HGT,FTYPE
-,VaneTec
3D 2.3,4.2,2.275,0.43,Vane
3D 3.0,5.7,2.95,0.43,Vane
3,6.2,2.9,0.5,Vane
4,8.8,3.9,0.51,Vane
5,11.7,4.9,0.5,Vane
Fusion Zeon,7,2.1,0.56,Vane
Fusion Zeon3.0,8,3,0.45,Vane
Fusion1.5,3.5,1.5,0.4,Vane
Fusion2.1,7,2.1,0.56,Vane
Fusion3.0,8,3,0.45,Vane
Predator,6.8,2,0.52,Vane
Raptor,7,2,0.568,Vane
-,Easton
Tite Flight-175,3,1.75,0.375,Vane
Tite Flight-200,4,2,0.33,Vane
Tite Flight-235,5.2,2.375,0.3,Vane
Diamond ED-175,3,1.75,0.375,Vane
Diamond ED-235,4,2.375,0.355,Vane
Diamond ED-280,6,2.875,0.5,Vane
Diamond ED-380,8,3.875,0.5,Vane
Elite 16,3,1.75,0.375,Vane
Elite 23,4,2.3,0.375,Vane
Elite 30,6,3,0.5,Vane
Elite 40,8,4,0.5,Vane
Elite 50,10,5,0.5,Vane
Feather 22,1.5,2.25,0.63,Feather
Feather 30,1.3,3,0.4,Feather
Feather 40,2.8,4,0.55,Feather
Feather 50,4.5,5,0.6,Feather
-,Flex Fletch
FLEX2 FFP-175,3.1,1.75,0.375,Vane
FLEX2 FFP-200,3.7,2,0.375,Vane
FLEX2 FFP-250,4.6,2.5,0.343,Vane
FLEX2 FFP-300,6.1,3,0..406,Vane
Silent Knight-200,4.5,2,0.485,Vane
Silent Knight-300,6.8,3,0.485,Vane
Shield FFS-187,3,1.87,0.375,Vane
Shield FFS-212,3.9,2.12,0.375,Vane
Shield FFS-225,4,2.25,0.375,Vane
Shield FFS-300,6.1,3,0.406,Vane
Parabolic FFP-150,2.9,1.5,0.375,Vane
Parabolic FFP-175,3.1,1.75,0.375,Vane
Parabolic FFP-187,3.1,1.87,0.312,Vane
Parabolic FFP-200,3.7,2,0.375,Vane
Parabolic FFP-225,3.75,2.25,0.375,Vane
Parabolic FFP-250,4.6,2.5,0.343,Vane
Parabolic FFP-300,6.1,3,0..406,Vane
Parabolic FFP-310,6.3,3.1,0.406,Vane
Flash FHP-200,4.8,2.05,0.49,Vane
FHP-200 Glow,4.8,2.05,0.49,Vane
Parabolic FFP-360,7.71,3.6,0.45,Vane
Parabolic FFP-418,9.21,4.18,0.45,Vane
Parabolic FFP-470,11,4.7,0.45,Vane
FLP-300,5.1,3,0.35,Vane
FLP-400,7,4,0.36,Vane
3D Swift,5.4,3,0.35,Vane
-,FireNock
Aerovane,11.2,3.75,0.545,Vane
AerovaneII,6.48,1.967,0.55,Vane
AerovaneIII,5.18,1.967,0.39,Vane
-,FOB Archery
FOB GEN2.287 1.0,23,0.5,0.39,FOB
FOB GEN2.317 1.0,24,0.5,0.375,FOB
FOB GEN1 1.0,24.5,0.5,0.375,FOB
FOB GEN1 1.25,29,0.5,0.39,FOB
-,G5
Logo BlaZer,6,1.987,0.568,Vane
-,Goat Tuff,
Opti-VaneII,7.5,2.75,0.375,Vane
-,GoldTip
FusionX 2.75,7,2.75,0.438,Vane
GT-3,4.8,3,0.5,Vane
GT-4,6.7,4,0.4,Vane
-,Martin
WildMan Fury,2.5,5.3,2.5,Vane
DuraVane3,3,6.3,2.95,Vane
DuraVane4,4,8,3.9,Vane
DuraVane5,5,11.5,4.925,Vane
-,NAP
HellFire,4,1.75,0.375,Vane
QuikSpin Twister,6.5,2,0.53,Vane
QuikSpin 2.0,6,2,0.53,Vane
QuikSpinST 2.0,6,2,0.465,Vane
QuikspinST 3.125,7.2,3.125,0.4,Vane
