*,2005 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
2005 Denali,300,34.0,7.0,26-30,50-70,65/80,Single,0,0,0
Fatal Impact One Cam,290,34,7.25,27-31,40-70,65/80,Single,0,0,0
Impact Extreme,285,34.0,6.5,26-30,40-70,65/80,Single,0,0,0
Micro Youth,260,34.0,5.5,21-28,20-50,65,Twin,0,0,0
Ravage,285,29.0,7.5,25-29,40-70,65/80,Single,0,0,0
RVX Fast-Trac,305,35.0,6.5,26-30,40-70,65/80,Single,0,0,0
SVX,300,35.0,7.5,27-31,50-70,65/80,Single,0,0,0
VX Stealth,305,33.5,6.75,27-31,40-70,65/80,Single,0,0,0
Yukon,305,34.0,7.0,26-30,50-70,65/80,Single,0,0,0
-,APA
Black Mamba,340,35.0,6.5,50-70,27-31,80,Hybrid,0,0,0
Taipan,318,35.0,7.625,50-70,27-31,80,Single,0,0,0
-,Archery Research
AR31 Ram And A Half,300,31,8.5,26-30,50-70,70,Hybrid,0,0,0
AR31 Ram Cam,300,31,8.5,25-30,50-70,70,Single,0,0,0
AR34 Ram And A Half,309,34,8,26-30,50-70,70,Hybrid,0,0,0
AR34 Ram Cam,309,34,8,25-30,50-70,70,Single,0,0,0
AR37 Ram And A Half,312,37,7,26-30,50-70,70,Hybrid,0,0,0
AR37 Ram Cam,312,37,7,25-30,50-70,70,Single,0,0,0
-,Bear
Buckmasters G2,309,31.0,7.5,28-30,40-70,65/70,Single,0,0,0
Buckmasters G2SL,300,30.0,7.5,27-29,50-70,65/70,Single,0,0,0
Buckmasters G2XL,309,35.0,7.5,28-30,40-70,65/70,Single,0,0,0
Mossy Oak 32,293,32.75,7.75,27-31,50-70,65/75,Single,0,0,0
Mossy Oak 36,290,36.0,8.125,28-32,50-70,65/75,Single,0,0,0
Mossy Oak Obsession,294,34.0,7.625,27-29,40-70,65/75,Single,0,0,0
Mossy Oak Reaper,292,36.125,6.875,28-30,50-70,65,Single,0,0,0
Mossy Oak Sparrowhawk II,278,36.5,7.0,24-28,30-50,70,Twin,0,0,0
Omni Pro,300,33.0,7.0,28-30,50-70,65/75,Single,0,0,0
Realtree Badge (High),210,34.88,7.13,24-27,35-45,65,Twin,0,0,0
Realtree Badge (Low),160,34.88,7.13,20-23,15-25,65,Twin,0,0,0
Realtree TRX,305,35.88,6.63,24-31,40-70,65/75,Single,0,0,0
Realtree TRX 32,303,32.0,7.5,24-31,40-70,65/75,Single,0,0,0
Realtree Vapor,302,34.25,7.25,28-30,40-70,65/75,Single,0,0,0
-,Bowtech
Allegience VFT,328,33.75,7.0,25-30,40-70,65/80,Binary,0,0,0
Black Knight,350,36.5,5.5,26-30,40-70,65,Twin,0,0,0
Constitution,308,40.25,8.25,26-31,30-70,65/80,Binary,0,0,0
Defender VFT,313,31.375,7.5,25-30,40-70,65/80,Binary,0,0,0
Independence VFT,298,37.625,7.625,26-31,50-70,65/80,Single,0,0,0
Justice VFT,298,31.25,8.125,25.5-30.5,40-70,65-80,Single,0,0,0
Liberty VFT,304,33.25,7.5,25.5-30.5,40-70,65-80,Single,0,0,0
Old Glory,323,37.5,7.25,26-31,40-70,65/80,Binary,0,0,0
Mighty Mite VFT,318,31.5,7.5,25-30,40-70,65/80,Single,0,0,0
Miranda,275,32.5,8.25,22-27,30-60,65/80,Single,0,0,0
PBR Special Edition,305,34.0,7.125,25.5-30.5,40-70,65/80,Single,0,0,0
Patriot VFT,326,33.375,6.875,25-30,40-70,65-80,Single,0,0,0
Rascal,254,25.25,7.75,20-25,10-40,65/80,Single,0,0,0
TomKat,308,32.5,8.25,26.5-31.5,50-70,65-80,Single,0,0,0
-,Browning
Illusion,305-313,32,7.25,28-31,50-70,65-80,Single,0,0,0
