*,2022 Nock
=,MFG,MDL,GRS,GRSBP
-,Accunock
Hunter-NB#2 LrgGrv 19,10.77,0
Hunter-NB#2 LrgGrv 19-620,13.1,0
Hunter-NB#2 LrgGrv 2114,17.14,0
Hunter-NB#2 LrgGrv 2213,17.39,0
Hunter-NB#2 LrgGrv 2216,17.69,0
Hunter-NB#2 LrgGrv 23-808,18.31,0
Hunter-NB#2 LrgGrv 2312,20.62,0
Hunter-NB#2 LrgGrv 2314,19.39,0
Hunter-NB#2 LrgGrv 2315,20.15,0
Hunter-NB#2 LrgGrv 25-886,22.462,0
In-Out-NB#1 SmlGrv 0X1,6.77,0
In-Out-NB#1 SmlGrv 2X1S,6.62,0
In-Out-NB#1 SmlGrv 2X1L,8.31,0
In-Out-NB#1 SmlGrv 2-65X1,7.54,0
In-Out-NB#1 SmlGrv 2-95X1,7.54,0
In-Out-NB#2 LrgGrv 0X2,7.77,0
In-Out-NB#2 LrgGrv 2X2S,7.69,0
In-Out-NB#2 LrgGrv 2X2L,9.23,0
In-Out-NB#2 LrgGrv 2-65X2,8.46,0
In-Out-NB#2 LrgGrv 2-95X2,8.46,0
In-Out-NB#2 Hunter 0X2H,7.54,0
In-Out-NB#2 Hunter 2X2H,8.46,0
-,Beman
Flash Micro-S,20.5,0
Flash S,26,0
Flash X,20.5,0
Flash H,20.5,0
Flash Micro-S,20.5,0
X-Nock,9,0
ViBrake S,19,0
ViBrake X,15,0
OverNock 12/64,9,0
OverNock 13/64,9,0
OverNock 14/64,12,0
ViBrake-07,20,0
OverNock-07 13/64,8,0
OverNock-07 14/64,10,0
-,Big
Gee,7,0
Pin,2.8,0
-,Black Eagle
R-Nock,9,0
Pin,4,0
-,Blackhawk
G-Nock,7,0
VE-1,7,0
V-Nock,8,0
V-AC,10,0
V-Maxx,13,0
VMXL,10,0
V-XL,15,0
Speed23 w/o B,15,0
Speed23 B,7,10
CAA3280 Pin Nock,2.8,8.5
CAA3390 Pin Nock,2.8,9
CAA3490 Pin Nock,2.8,9.5
CAA3600 Pin Nock,2.8,10
CAA3710 Pin Nock,2.8,10.5
23 Speed Pin Nock,2.9,14
-,Bohning
H.E. Nock,10,0
Blazer DoubleLock-STD,10.3,0
Blazer Blazer-F 0.098,6,0
Blazer Blazer-F 0.088,6,0
Blazer Blazer-A,7,0
Blazer Blazer-Pin 0.120,3,0
Blazer Blazer-Pin 0.088,3,0
DoubleLock-STD Pre08,9,0
DoubleLock-F Pre08,7,0
DoubleLock-A Pre08,8,0
DoubleLock-Pin Pre08,2,0
Signature,12.7,0
Signature Pre08,8,0
T-Nock Pre08 1/4,5.5,0
T-Nock Pre08 9/32,7,0
T-Nock Pre08 5/16,10.1,0
T-Nock Pre08 11/32,13,0
T-Nock 1/4,6.2,0
T-Nock 9/32,8.3,0
T-Nock 5/16,14,0
T-Nock 11/32,16,0
Classic Pre08 5/16,10,0
Classic Pre08 11/32,12.9,0
Classic 5/16,10.4,0
Classic 11/32,13.5,0
Legend 5/16,8.5,0
Legend 11/32,11.5,0
-,Burt Coyote
Lumenock S,16,0
Lumenock GT,27,0
Lumenock X,24,0
Lumenock SL,27,0
Lumenock 244,27,0
Lumenock 246,27,0
Lumenock H,24,0
Lumenock Super-Uni,28,0
-,Carbon Express
TCX,8.7,0
TCX 150-BC,8.7,3.6
TCX 250-BC,8.7,3.8
TCX 350-BC,8.7,4
LAUNCHPAD-L,18.5,0
LAUNCHPAD-NL,9.9,0
LazerEye,18.5,0
Amped-XS TCX,10.8,0
TCX 203ID,10.4,0
CX Pin Nock 3DS Adapter,3.4,17.6
CX Pin Nock CXL Adapter,3.4,17.6
CX Pin Nock LJ Adapter,3.4,17.6
CX Pin Nock XJSS Adapter,3.4,18.8
CX Pin Nock XJ27 Adapter,3.4,27.1
CX Soma Pin Nock,3.4,0
CX Pin Nock,3.4,0
CX Pin Nock XR Adapter#1,3.4,8
CX Pin Nock XR Adapter#2,3.4,7.7
CX Pin Nock PRO Adapter#1,3.4,7.1
CX Pin Nock PRO Adapter#2,3.4,6.9
Nano XR Post Nock,11.1,0
Nano PRO Post Nock,11,0
CX META#1,8.9,0
CX META#2,8.6,0
Edge,10.2,0
HyperTex LJ,22.6,5.2
HyperTex XJ,25.3,4.9
HyperTex CXL,17.6,4.6
HyperTex,12.4,0
Thunder Express,10.3,0
ThunderStorm,9,0
CXL,11,4.6
SlimLine,8,0
Heritage In-Line,5,7
Medallion CX,2,8
3D Select CX,2,7
LineJammer In-Line,5,18
LineJammer Beiter,22,0
CX InLine,5,7
