*,2002 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,BowTech
Pro 38-6,330,37.5,6,25-30,50-70,80/65,Single,0,0,0
Pro 38-7,318,37.5,7,26-31,50-70,80/65,Single,0,0,0
Pro 40-6,318,39,6.75,25-30,50-70,80/65,Single,0,0,0
Pro 40-7,308,39,7.75,27-32,50-70,80/65,Single,0,0,0
Extreme Solo-6,333,35,6,25-30,60-70,80/65,Single,0,0,0
Extreme Solo-7,319,35,7,26-31,60-70,80/65,Single,0,0,0
Extreme Solo Sampson-5,335,35,5.625,25-30,80-100,80/65,Single,0,0,0
Extreme Solo Sampson-6,322,35,6.625,26-31,80-100,80/65,Single,0,0,0
Stalker,306,33.5,7.75,27-32,40-70,80/65,Single,0,0,0
Stalker Lite,295,33.5,6.875,23-29,30-60,80/65,Single,0,0,0
Generation 3-5,332,36,5.6,25-30,60-70,80/65,Single,0,0,0
Generation 3-6,318,36,6.6,26-31,60-70,80/65,Single,0,0,0
Generation 3-7,320,37.375,7,26-31,50-70,80/65,Single,0,0,0
Extreme SD-6,322,32.5,6,24-29,40-70,80/65,Single,0,0,0
Extreme SD-7,318,32.5,7,25-30,40-70,80/65,Single,0,0,0
Black Knight2-55,350,35.6,5.25,26-30,60-70,80/65,Twin,0,0,0
Black Knight2-56,339,35.6,6.25,27-31,60-70,80/65,Twin,0,0,0
Black Knight2-75,350,37.5,5.5,26-30,50-70,65,Twin,0,0,0
Black Knight2-76,339,37.5,6.5,27-31,50-70,65,Twin,0,0,0
Mighty Mite,324,31.25,7.2,25-30,60-70,80/65,Single,0,0,0
Tech 29,320,29.5,6.5,24-29,50-70,80/65,Single,0,0,0
Rascal,262,24.5,7.25,19-25,20-40,80,Single,0,0,0
Patriot,320,33.75,7.25,25-30,40-70,80/65,Single,0,0,0
Predator Tomcat,292,31.0,9.125,27-32,60-70,80/65,Single,0,0,0
Predator Blackhawk,298,28.5,9.125,26-31,60-70,80/65,Single,0,0,0
-,HoytUSA
HavocTec XT2000 AW,270,31.5,7.5,21-28,30-80,65,Twin,0,0,0
HavocTec XT2000 CC,302,31.5,7.5,21-31,30-80,75/65,Twin,0,0,0
HavocTec XT2000 EC,295,31.5,7.5,24-30,30-80,75/60,Single,0,0,0
HavocTec XT2000 VC,300,31.5,7.5,24-31,30-80,80/65,Single,0,0,0
HavocTec ZR200 CC,293,31.5,7.5,22-32,30-80,75/65,Twin,0,0,0
HavocTec ZR200 VC,288,31.5,7.5,25-33,30-80,80/65,Single,0,0,0
CyberTec XT2000 CC,309,36.0,6.5,21-31,30-80,75/65,Twin,0,0,0
CyberTec XT2000 EC,303,36.0,6.5,24-30,30-80,75/60,Single,0,0,0
CyberTec XT2000 VC,304,36.0,6.5,24-31,30-80,80/65,Single,0,0,0
HyperTec XT2000 RC,320,33.0,6,24-30,30-80,80/65,Single,0,0,0
UltraTec XT3000 AW,273,38.0,7,22-30,30-80,65,Twin,0,0,0
UltraTec XT3000 CC,293,41.25,7.75,23-33,30-80,75/65,Twin,0,0,0
UltraTec XT3000 EC,288,38.0,7,26-33,30-80,75/60,Single,0,0,0
UltraTec XT2000 CC,305,39.0,6.75,21-32,30-80,75/65,Twin,0,0,0
UltraTec XT2000 EC,298,38.0,7,25-32,30-80,75/60,Single,0,0,0
UltraTec XT2000 VC,300,38.0,7,25-32,30-80,80/65,Single,0,0,0
UltraTec XT2000 RL,300,39.0,7.0,25-32,30-80,80/65,Single,0,0,0
ProTec LX Pro AW,255,46.0,8.25,25-33,30-80,65,Twin,0,0,0
ProTec LX Pro CC,277,46.0,8.25,25-34,30-80,75/65,Twin,0,0,0
ProTec XT3000 AW,265,41.0,8.25,24-34,30-80,65,Twin,0,0,0
ProTec XT3000 CC,285,41.0,8.25,24-34,30-80,75/65,Twin,0,0,0
ProTec XT3000 EC,278,41.0,8.25,29-34,30-80,75/60,Single,0,0,0
ProTec XT2000 CC,297,38.0,7.75,23-33,30-80,75/65,Twin,0,0,0
ProTec XT2000 EC,290,38.0,8.25,26-33,30-80,75/60,Single,0,0,0
ProTec XT2000 VC,292,40.25,8.125,26-34,30-80,80/65,Single,0,0,0
VorTec ZR200 CC,300,36.0,7.5,22-32,40-80,75/65,Twin,0,0,0
VorTec ZR200 VC,295,36.0,7.5,25-33,40-80,80/65,Single,0,0,0
Saphire ZR200 AW,254,34.5,6.5,21-28,30-60,65,Twin,0,0,0
Saphire ZR200 CC,277,34.5,6.5,21-28,30-60,75/65,Twin,0,0,0
Saphire ZR200 VC,273,34.5,6.5,25-28,30-60,80/65,Twin,0,0,0
MagnaTec XT2000 CC,305,35.5,7,21-31,40-80,75/65,Twin,0,0,0
MagnaTec XT2000 VC,300,35.5,7,24-32,40-80,80/65,Single,0,0,0
MagnaTec ZR200 CC,300,35.5,7,22-33,40-80,75/65,Twin,0,0,0
MagnaTec ZR200 VC,283,35.5,7,25-33,40-80,80/65,Single,0,0,0
MT Sport XT200 AW,271,34.5,8.5,22-29,40-80,65,Twin,0,0,0
MT Sport XT200 CC,286,34.5,8.5,22-33,40-80,75/65,Twin,0,0,0
MT Sport XT200 VC,275,34.5,8.5,26-34,40-80,80/65,Single,0,0,0
Banshee,235,32,6.75,16-23,20-50,65,Single,0,0,0
Havoc,308,33.25,7.25,22-32,30-80,75/65,Single,0,0,0
ProTec,300,43.0,8.25,27-32,40-80,65,Single,0,0,0
-,Martin
Bobcat,294,37.875,6,25-31,40-80,75/65,Single,0,0,0
Altitude Fuzion,301,30.375,6.875,24-29,50-70,75/65,Single,0,0,0
MV2 Elite Fury,293,39.875,7.25,25-33,40-70,75/65,Twin,0,0,0
MV2 Elite Fury-X,293,39.875,7.25,25-33,40-70,75/65,Twin,0,0,0
MV2 Magnum Fuzion,302,34.375,7,26-30,50-70,75/65,Single,0,0,0
Phantom Fuzion,301,37.5,7.125,27-32,50-70,75/65,Single,0,0,0
Phantom  Z,285,37.25,6.75,25-32,50-70,75/65,Single,0,0,0
Phantom Magnum Fuzion,310,33,6.25,25-30,50-70,75/65,Single,0,0,0
Jaguar Z,291,36.375,7.75,25-31,40-70,75/65,Single,0,0,0
Jaguar Magnum Fuzion,310,33.25,6.75,25-30,50-70,75/65,Single,0,0,0
Scepter,290,42.875,7.25,26-34,40-80,75/65,Single,0,0,0
Scepter II Elite Fury,290,42.875,7.875,26-34,40-80,75/65,Twin,0,0,0
Phantom Elite Fury,305,38,7,24-32,40-70,75/65,Twin,0,0,0
Phantom Elite Fury-X,305,38,7,24-32,40-70,75/65,Twin,0,0,0
SpeedFire SL Magnum Fuzion,301,32,7,25-30,50-70,75/65,Single,0,0,0
Cougar Fury,310,40.125,6.625,24-32,40-70,75/65,Twin,0,0,0
Cougar Elite Fury,308,42,6.875,25-33,40-80,75/65,Twin,0,0,0
Cougar Elite Fury-X,308,42,6.875,25-33,40-80,75/65,Twin,0,0,0
Cougar Fuzion,294,40.5,7.125,27-32,40-70,75/65,Single,0,0,0
Cougar Magnum Fuzion,315,36.5,6.875,26.32,50-70,75/65,Single,0,0,0
Panther Magnum Fuzion,300,33.0625,7.25,26-31,50-70,75/65,Single,0,0,0
Tiger Mini-Z,220,31.5,5.375,17-23,20-40,65,Single,0,0,0
-,Mathews
Q2,308,34,7.5,23-30,40-70,70,Single,0,0,0
Q2XL,308,38,7.5,24-31,40-70,70,Single,0,0,0
FX,308,34,7.5,23-31,40-70,80/65,Single,0,0,0
SQ2,305,31,8.5,23-30,40-70,70,Single,0,0,0
MQ32,303,32,8.25,24-30,40-70,80/70,Single,0,0,0
