*,2007 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
Silverado,325,32,7.25,27-30,50-70,65/80,Binary2,0,0,0
Avalanche,310,31,6.25,25-29,50-70,65/80,Single,0,0,0
Denali,307,34,7,26-30,50-70,65/80,Single,0,0,0
Frontier,300,35.0,7.25,26-30,40-70,65/80,Single,0,0,0
Micro Youth,280,32.0,5.5,21-28,20-50,65,Twin,0,0,0
Micro Elite Youth,280,32,5.5,21-28,20-50,65,Twin,0,0,0
Yukon,305,34.0,7.0,26-30,50-70,65/80,Single,0,0,0
Summit VX1,315,31.0,6.5,22-27,40-60,80,Single,0,0,0
Fatal Impact One Cam,290,34,7.25,27-31,40-70,80,Single,0,0,0
Impact Extreme,285,34.0,6.5,26-30,40-70,65/80,Single,0,0,0
-,Alternative
eXact Barnsdale,302,40.25,7.0,24-31,30-70,58,Twin,0,0,0
eXact K2,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
eXact B1,315,36.5,7.0,24-31,30-70,60-80,Single,0,0,0
eXact SS,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact SM,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact TS,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact TM,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact K2-L,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
eXact B1-L,312,39.0,7.5,24-31,30-70,60-80,Single,0,0,0
eXact SS-L,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact SM-L,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact TS-L,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
eXact TM-L,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG K2,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CG SS,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG SM,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG TS,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG TM,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG K2-L,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CG SS-L,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG SM-L,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG TS-L,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG TM-L,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CL K2,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL SS,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL SM,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL TS,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL TM,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL K2-L,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL SS-L,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL SM-L,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL TS-L,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL TM-L,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
-,APA
Anaconda VT,330,39.375,7.5,50-70,27-32,70,Twin,0,0,0
Black Mamba X2,340,33.875,7.0625,50-80,25-30,70,Twin,0,0,0
Python XP,315,37.625,7.25,50-70,26-31,65-80,Single,0,0,0
Suphan XP,322,33.0625,7.25,50-70,25-30,65-80,Single,0,0,0
Taipan XP,308,33.0625,8.25,50-80,26-31,65-80,Single,0,0,0
-,Archery Research
AR32,300-308,32.75,8.0,26-30,60-70,65/75,Hybrid,0,0,0
AR35,306-314,35.5,7.25,26-30,60-70,65/75,Hybrid,0,0,0
AR35 SD,286-294,34.0,6.5,23-27,40-70,75,Hybrid,0,0,0
Velocity,312-320,34.0,6.5,26-30,60-70,65/80,Hybrid,0,0,0
-,Barnsdale
Redman 38,272-282,38.0,8.0,27-31,50-70,58,Twin,0,0,0
Redman 42,268-278,42.0,8.5,27-31,50-70,58,Twin,0,0,0
Redman 46,262-272,46.0,9.25,27-31,50-70,58,Twin,0,0,0
Classic-X 36,292-302,36.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 38,290-300,38.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 40,286-296,40.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 42,282-292,42.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 44,278-288,44.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 46,274-284,46.0,9.125,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 43,280-290,43.5,8.25,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 45,276-286,45.5,8.75,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 47,272-282,47.5,9.75,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 36,294-304,36.0,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 38,292-302,38.0,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 40,288-298,40.0,8.25,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 42,284-294,42.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 44,280-290,44.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 46,276-286,46.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 43,282-292,43.5,8.0,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 45,278-288,45.5,8.5,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 47,274-284,47.5,9.5,27-33,30-70,55/65/75,Twin,0,0,0
-,BassPro
RedHead Kryptik,312-315,33.25,7.25,28-30,50-70,65-80,Single,0,0,0
RedHead XSC-33,305,32.25,7.625,27-30,60-70,80,Single,0,0,0
RedHead XP-32,300,31.5,7.25,27-30,60-70,75,Hybrid,0,0,0
RedHead XP-35,302,35.0,7.25,27-30,60-70,75,Hybrid,0,0,0
-,Bear
Truth,314,33.0,7.0,23-30,50-70,80,Single,0,0,0
Code,310,34.0,7.5,24-31,50-70,75,Single,0,0,0
Instinct,306,30.0,7.5,23-30,40-70,75,Single,0,0,0
Element,304,32,7.75,24-31,40-70,75,Single,0,0,0
Odyssey,287,32,5.5,13-27,Oct-50,70,Twin,0,0,0
Omni Pro,300,33.0,7.0,28-30,50-70,65/75,Single,0,0,0
Pioneer II,287,32,5.5,13-27,30-Oct,70,Twin,0,0,0
SQ32,310,32.5,7.5,27-31,50-70,65/75,Hybrid,0,0,0
Buckmasters G2SQ,310,32.5,7.25,27-31,50-70,65/75,Hybrid,0,0,0
Realtree Badge (High),210,34.875,7.125,24-27,35-45,65,Twin,0,0,0
Realtree Badge (Low),160,34.875,7.125,20-23,15-25,65,Twin,0,0,0
Buckmasters G2,309,31.0,7.5,28-30,40-70,65/70,Single,0,0,0
Buckmasters G2SL,300,30.0,7.5,27-29,50-70,65/70,Single,0,0,0
Buckmasters G2XL,309,35.0,7.5,28-30,40-70,65/70,Single,0,0,0
Mossy Oak 32,293,32.75,7.75,27-31,50-70,65/75,Single,0,0,0
Mossy Oak 36,290,36.0,8.125,28-32,50-70,65/75,Single,0,0,0
Mossy Oak Obsession,294,34.0,7.625,27-29,40-70,65/75,Single,0,0,0
Mossy Oak Reaper,292,36.125,6.875,28-30,50-70,65,Single,0,0,0
Mossy Oak Sparrowhawk II,278,36.5,7.0,24-28,30-50,70,Twin,0,0,0
Realtree TRX,305,35.88,6.63,24-31,40-70,65/75,Single,0,0,0
Realtree TRX 32,303,32.0,7.5,24-31,40-70,65/75,Single,0,0,0
Realtree Vapor,302,34.25,7.25,28-30,40-70,65/75,Single,0,0,0
-,BladeRunner
A-51,305-315,26.0,7.25,26-32,40-70,65-75,Twin,0,0,0
ISO Force,310-320,26.0,7.25,26-32,40-70,65,Twin,0,0,0
-,BowTech
Alligence Speed,327-335,33.25,7.25,26.5-30.5,50-70,65-80,Binary2,0,0,0
Alligence Smooth,319-327,33.25,7.25,26.5-30.5,50-70,65-80,Binary1,0,0,0
Commander,310-318,37.25,7.5,27-32,40-70,65-80,Binary2,0,0,0
Constitution Speed,312-320,41,8.25,27-30.5,40-70,65-80,Binary2,0,0,0
Constitution Smooth,307-315,41,8.25,27-30.5,40-70,65-80,Binary1,0,0,0
Equalizer Speed,300-335,33.25,7.25,24-27.5,20-60,65-80,Binary2,0,0,0
Equalizer Smooth,296-330,33.25,7.25,24-27.5,20-60,65-80,Binary1,0,0,0
Guardian,321-329,33.75,7.15,25-30,40-70,65-80,Binary2,0,0,0
Tribute Speed,320-328,31.5,7.75,26.5-30.5,50-80,65-80,Binary2,0,0,0
Tribute Smooth,312-320,31.5,7.75,26.5-30.5,50-80,65-80,Binary1,0,0,0
TomKat Speed,307-315,31.75,8.5,27.0-31.0,40-70,65-80,Binary2,0,0,0
TomKat Smooth,299-307,31.75,8.5,27.0-31.0,40-70,65-80,Binary1,0,0,0
Old Glory Speed,308-316,36.75,8.0,28.0-32.0,50-70,65/80,Binary2,0,0,0
Old Glory Smooth,300-308,36.75,8.0,28.0-32.0,50-70,65/80,Binary1,0,0,0
PBR LE Speed,297-305,34.0,7.25,25.0-30.0,50-70,65/80,Binary2,0,0,0
PBR LE Smooth,293-301,34.0,7.25,25.0-30.0,50-70,65/80,Binary1,0,0,0
Mission OBS LE,305-310,36.5,7.0,25.0-30.0,50-70,65/80,Single,0,0,0
-,Browning
Illusion,319,31.44,7.25,25-30,50-70,65/80,Single,0,0,0
Mirage,315,29.88,7.75,25-30,50-70,80,Single,0,0,0
Vapor,308,33.63,8.15,27-32,50-70,65/80,Single,0,0,0
Myst,309,32.0,7.75,27-30,50-70,75,Hybrid,0,0,0
Yukon,289-297,32.5,8.25,24-30,50-70,70,Single,0,0,0
Rage,292,35.5,8.25,21-31,45-65,70,Twin,0,0,0
Rage One,298,36,8.5,25-31,40-70,70,Single,0,0,0
MC Adrenaline,259,30.5,6.25,18-27,30-50,70,Twin,0,0,0
MC Midas 4,254,30.5,6.25,18-27,20-40,70,Twin,0,0,0
Barracuda,200-250,32.0,6.5,18-30,30-40,0,Twin,0,0,0
Oasis,302-310,37.0,7.25,28-31,60-70,75,Hybrid,0,0,0
F5 Tornado,297-305,32.5,8.25,24-30,50-70,70,Single,0,0,0
Discovery,200-250,32.0,6.5,18-30,20-29,0,Twin,0,0,0
-,Cabelas
PL-1,300,34.5,7.0,28-30,60-70,75,Single,0,0,0
PL-1p5,310,35.0,6.5,27-30,50-70,70,Hybrid,0,0,0
-,Concept
Orion,312-316,36.0,8.0,23-30,30-70,80-99,Single,0,0,0
Alpha,298-304,36.0,7.25,24-31,30-70,80-99,Single,0,0,0
Mini29,312-315,28.5,8.0,23-30,30-70,80-99,Single,0,0,0
FITA 43,302-306,43.0,8.0,25-31,30-70,55/65/75,Twin,0,0,0
FITA 45,300-304,45.0,8.5,27-32,30-70,55/65/75,Twin,0,0,0
C32,310-312,31.0,7.0,24-31,30-70,65/80/99,Single,0,0,0
C99,312-314,36.0,7.75,24-31,40-70,80/99,Single,0,0,0
P50,313-315,33.0,7.25,24-31,40-70,80/99,Single,0,0,0
Stelth,323-327,36.0,6.25,26-31,40-70,65/80,Twin,0,0,0
U2 32,318-322,30.00,6.25,23-30,30-70,80-99,Twin,0,0,0
-,Darton
G2 Pro2000,320,34.5,7.25,26-31,50-70,80,Hybrid,0,0,0
G2 Pro3000,333,34.5,6.25,25-30,50-70,80,Hybrid,0,0,0
G2 Pro4000,308,37.5,7.75,26-32,50-70,80,Hybrid,0,0,0
G2 Pro5000,292,39.5,8.75,28.5-33.5,40-70,80,Hybrid,0,0,0
AS100,319,27.75,6.75,24-29.5,50-70,80,Hybrid,0,0,0
Marauder,300,32.0,7.625,26-30,50-70,80,Hybrid,0,0,0
AS300,326,31.375,7.0,25-30,50-70,80,Hybrid,0,0,0
AS400,320,34.5,7.25,26-31,50-70,80,Hybrid,0,0,0
