*,2003 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
D.O.A.,319,33,7,25-30,40-70,65/80,Single,0,0,0
Hornet,318,30.5,7.5,25-30,40-70,65/80,Single,0,0,0
Invader,314,34,7,25-30,40-70,65/80,Single,0,0,0
Machete,315,32,7.75,25-30,40-70,65/80,Single,0,0,0
Skyrunner,312,36,7.25,26-31,40-70,65/80,Single,0,0,0
Stinger,312,28.5,8.38,25-30,40-70,65/80,Single,0,0,0
Undertaker,309,33,8,26-31,40-70,65/80,Single,0,0,0
Widowmaker,310,38,7,26-31,40-70,65/80,Single,0,0,0
-,Golden Eagle
Mossy Oak 32,284,32.75,8.38,28-31,50-70,65/75,Single,0,0,0
Mossy Oak 36,284,36,8.38,28-32,50-70,65/75,Single,0,0,0
Obsession,284,34,7.88,27-31,40-70,65/75,Single,0,0,0
Raptor,292,36.13,6.88,29-30,50-70,65,Single,0,0,0
Sparrowhawk II,278,36.5,7,24-28,30-50,75,Twin,0,0,0
-,HoytUSA
Banshee,235,32,6.5,16-23,25-45,65,Twin,0,0,0
Cybertec,315,35.5,6.63,23-31,40-80,65/75,Hybrid,0,0,0
Dynatec,298,34,7.63,24-31,40-80,65/75,Hybrid,0,0,0
Havoctec,308,31,7.75,23-31,40-80,65/75,Hybrid,0,0,0
Magnatec XT,310,36,6.5,23-31,40-80,65/75,Hybrid,0,0,0
Magnatec ZR,300,37.5,6.5,25-32,40-80,65/75,Hybrid,0,0,0
MT Sport,290,34.5,8.38,25-32,40-80,65/75,Hybrid,0,0,0
Protec LX Pro,274,46.75,8.25,28-36,30-70,65/75,Hybrid,0,0,0
Protec LX Pro Accuwheel,255,46.75,8.25,25-33,30-70,65/75,Hybrid,0,0,0
Protec Spiral XT2000,305,38,8.25,26-33,30-70,65/75,Hybrid,0,0,0
Protec XT 2000,294,38,8.25,25-33,30-70,65/75,Hybrid,0,0,0
Protec XT 3000,284,41,8.25,26-34,30-70,65/75,Hybrid,0,0,0
Protec XT Accuwheel,265,41,8.25,23-31,30-70,65,Twin,0,0,0
Razortec,310,33,7.25,24-31,40-80,65/75,Hybrid,0,0,0
Sierratec,280,34,7.38,24-28,30-60,65/75,Hybrid,0,0,0
Supertec Spiral,330,36,6,23-30,40-80,65/75,Hybrid,0,0,0
Ultratec Accuwheel,273,40.5,7.38,22-30,40-80,65/75,Hybrid,0,0,0
Ultratec Spiral,315,37.5,7.38,25-32,40-80,65/75,Hybrid,0,0,0
Ultratec XT 2000,308,37.5,7.38,23-31,40-80,65/75,Hybrid,0,0,0
Ultratec XT 3000,298,40.5,7.38,25-33,40-80,65/75,Hybrid,0,0,0
-,Jennings
CMX,300,37.25,7.63,25-32,40-70,65/75,Single,0,0,0
GrandMaster,300,40.5,7.5,26-33,40-70,65/70,Single,0,0,0
RackMaster,302,34.38,7.5,24-31,40-70,65/70,Single,0,0,0
RackMaster Lite,255,31.25,6.25,22-26,20-50,75,Single,0,0,0
TrophyMaster,308,35.38,7.5,24-31,40-70,65/70,Single,0,0,0
-,Martin
Altitude Fuzion,301,30.38,6.75,24-29,40-70,65/75,Single,0,0,0
Cougar III Elite Fury,308,42,6.88,25-33,40-70,65/75,Twin,0,0,0
Cougar III Elite Fury-X,308,42,6.88,25-30,40-70,65/75,Twin,0,0,0
Cougar III Fury,306,40.13,6.63,24-32,40-70,65/75,Twin,0,0,0
Cougar III Fury-X,306,40.13,6.63,24-29,40-70,65/75,Twin,0,0,0
Cougar III Fuzion,294,40.13,6.63,27-32,40-70,65/75,Single,0,0,0
Cougar III Magnum Fuzion,310,36.5,6.88,26-32,40-70,65/75,Single,0,0,0
Cougar III SE Fury,295,32,7.63,26-34,40-70,65/75,Twin,0,0,0
Cougar III SE Fuzion,290,32,7.63,28-34,40-70,65/75,Single,0,0,0
Cougar III Z-Cam,300,40.13,6.63,26-32,40-70,65/75,Twin,0,0,0
Jaguar Magnum Fuzion,305,33.25,6.75,25-30,40-70,65/75,Single,0,0,0
Jaguar Mini-Z,240,36.38,7.75,19-25,40-70,65/75,Twin,0,0,0
Jaguar Z-Cam,291,36.38,7.75,25-31,40-70,65/75,Twin,0,0,0
MV2 Elite Fury,293,39.88,7.25,26-34,40-70,65/75,Twin,0,0,0
MV2 Elite Fury-X,293,39.88,7.25,26-31,40-70,65/75,Twin,0,0,0
MV2 Magnum Fuzion,305,34.38,7,26-30,40-70,65/75,Single,0,0,0
MV2 SE Fuzion,290,30,8.75,28-32,40-70,65/75,Single,0,0,0
Onza II Elite Fury,293,39.88,7.25,26-34,40-70,65/75,Twin,0,0,0
Onza II Elite Fury-X,293,39.88,7.25,26-31,40-70,65/75,Twin,0,0,0
Onza II Fuzion,300,36.38,7.5,24-32,40-70,65/75,Single,0,0,0
Onza II SE Fury,288,32,8.25,26-34,40-70,65/75,Twin,0,0,0
Onza II SE Fuzion,290,32,8.25,28-32,40-70,65/75,Single,0,0,0
Phantom Elite Fury,305,38,7,24-32,40-70,65/75,Twin,0,0,0
Phantom Elite Fury-X,305,38,7,24-29,40-70,65/75,Twin,0,0,0
Phantom Fuzion,301,37.5,7.13,25-32,40-70,65/75,Single,0,0,0
Phantom Magnum Fuzion,310,33,6.25,25-30,40-70,65/75,Single,0,0,0
Phantom Z-Cam,285,37.5,7.13,25-32,40-70,65/75,Twin,0,0,0
Phanton Mini-Z,240,37.5,7.13,19-25,40-70,65/75,Twin,0,0,0
Rage II,301,32,7,25-30,40-70,65/75,Single,0,0,0
Scepter III Elite Fury,290,43,7.88,27-35,40-70,65/75,Twin,0,0,0
Scepter III Elite Fury-X,290,43,7.88,27-32,40-70,65/75,Twin,0,0,0
Scepter III Fury,300,41,7.25,26-34,40-70,65/75,Twin,0,0,0
Scepter III Fury-X,300,41,7.25,26-31,40-70,65/75,Twin,0,0,0
Scepter III SE Fuzion,285,34.25,9,27-32,40-70,65/75,Single,0,0,0
Tiger,220,31.5,5.38,17-23,25-40,65,Twin,0,0,0
Tracer Magnum,298,32.25,7.38,26-31,40-70,65/75,Single,0,0,0
-,Mathews
Black Max 2,330,36,5.5,25-30,40-70,65,Single,0,0,0
Conquest 3,310,41,7,24-32,40-70,60/65/80,Single,0,0,0
FX,308,34,7.5,23-31,40-70,65/80,Single,0,0,0
Icon,300,37,7.63,24-30,40-70,70,Single,0,0,0
Legacy,308,34,7.5,24-30,40-70,70,Single,0,0,0
LX,317,35,6.63,25-30,40-70,65/80,Single,0,0,0
Q2,308,34,7.5,23-30,40-70,70,Single,0,0,0
Q2XL,308,38,7.5,24-31,40-70,70,Single,0,0,0
Sportsman,180,34,7.5,20-32,40-70,50,Single,0,0,0
SQ2,305,31,8.5,23-30,40-70,70,Single,0,0,0
Ultra 2,320,36,6.13,22-30,40-70,65/80,Single,0,0,0
-,McPherson
38 Special,311,38,7.63,25-32,40-70,65/75/85,Single,0,0,0
Diva VX,303,35.38,6.56,24-31,20-70,65/75/85,Single,0,0,0
Hornet VX,302,31.38,7.88,24-31,40-70,65/75/85,Single,0,0,0
Mark XII,301,35.44,8.38,26-31,40-70,65/75/87,Single,0,0,0
Raptor VX,330,35,6.13,27-30,40-70,75,Single,0,0,0
SDS VX,303,35.38,6.56,24-31,30-70,65/75/85,Single,0,0,0
-,Merlin
Max3000 RapidCams,308,39.75,7.2,25-31,30-70,65,Twin,0,0,0
SuperNova RapidCams,290,40.25,9.0,25-31,30-70,65,Twin,0,0,0
Quest35 RapidCams,300,35.0,8.0,25-31,30-70,65,Twin,0,0,0
-,Oneida Eagle
Black Eagle SS,290,44.0,6.25,25-28,35-80,40-80,Hybrid,0,0,0
Black Eagle S,295,44.75,7.25,27-30,35-80,40-80,Hybrid,0,0,0
Black Eagle MLF,300,44.0,6.25,27-30,35-80,40-80,Hybrid,0,0,0
Black Eagle M,305,45.5,6.5,28-31.5,35-80,40-80,Hybrid,0,0,0
Black Eagle L,300,46.75,8.25,32-33,35-80,40-80,Hybrid,0,0,0
Pro Eagle S,295,46.5,7.5,27-30.5,35-80,40-80,Hybrid,0,0,0
Pro Eagle M,305,46.5,7.5,28-32.5,35-80,40-80,Hybrid,0,0,0
-,Pearson
440 Quad,303,35.38,7,24-31,40-70,65/75/85,Single,0,0,0
Cherokee,175,29.25,7,22-26,15-45,65/75/85,Single,0,0,0
Colt Kit,150,29.31,6.25,19-24,30-50,75,Twin,0,0,0
Diamondback VX,302,31.38,7.88,24-31,40-70,65/75/85,Single,0,0,0
Freedom,315,35.19,6.69,23-30,40-70,65/75/85,Single,0,0,0
Freedom Pro,303,37.13,8.63,26-31,40-70,65/75/85,Single,0,0,0
Predator VX,304,34.25,7.25,25-32,40-70,65/75/85,Single,0,0,0
Warrior,285,33.88,7.75,24-31,30-70,65/75/85,Single,0,0,0
-,Proline
Corsair,302,37.19,6.63,26-31,40-70,75,Single,0,0,0
Mountain 30,294,30,8,25-30,40-70,75,Single,0,0,0
Mountain 32,305,32,7.63,26-31,40-70,75,Single,0,0,0
Mountain Supreme,297,32,7.63,26-31,40-70,75,Single,0,0,0
Sniper,300,33.5,7.38,26-31,40-70,75,Single,0,0,0
Stalker,302,35.75,7.25,26-31,40-70,75,Single,0,0,0
-,PSE
Beast Inferno ,295,36.5,7.5,27-31,50-70,65/75,Single,0,0,0
Deerhunter Combo,265,38,7.75,24-29,30-65,65,Twin,0,0,0
Diamondback II,305,36.5,6.75,27-31,50-70,65/80,Single,0,0,0
Enforcer,300,34,8,26-31,50-70,65/80,Single,0,0,0
Firestom Lite,300,30,8,26-30,40-70,65/80,Single,0,0,0
Mach-10,311,39,6.25,26-31,50-70,65/80,Single,0,0,0
Mach-11 V5,265,41.0,8.5,26-31,50-70,65,Twin,0,0,0
Mach-11 S8,285,41.0,8.5,26-31,50-70,65,2Cam Meduim,0,0,0
Nitro,315,36,6,25-30,50-70,65/80,Single,0,0,0
Nova Inferno,295,36.5,7.5,27-31,50-70,65/75,Single,0,0,0
Nova Pro65,295,39,7.25,26-30,30-70,65,Twin,0,0,0
Nova Pro75,290,39,7,24-30,20-70,75,Twin,0,0,0
Outlaw,210,32.5,6.5,17-22,15-35,65,Twin,0,0,0
Primos STL,305,38,7.75,26-31,50-70,65/80,Single,0,0,0
Spyder S4,240,32,5.75,16-25,25-45,65,Twin,0,0,0
Spyder Stinger,275,35,6.75,23-27,30-70,65/75,Single,0,0,0
Supra,280,39.25,8.75,25-29,30-60,65/75,Single,0,0,0
Thunderbolt L3,300,36.5,7,27-31,40-70,65/80,Single,0,0,0
Triton,305,32,7.25,25-30,50-70,65/80,Single,0,0,0
XCellerator,302,32.5,7.75,25-30,40-70,65/80,Single,0,0,0
-,Reflex
Buckskin,306,34,7.25,27-30,40-70,65/75,Hybrid,0,0,0
Caribou,254,45.5,9,28-31,40-70,65,Twin,0,0,0
Gamegetter,295,39.75,7.5,27-30,40-70,65/75,Hybrid,0,0,0
Growler,300,37.5,7.5,27-30,40-70,65/75,Hybrid,0,0,0
Timberwolf,315,36,6,27-30,40-70,65/75,Hybrid,0,0,0
-,Renegade
Alpha-1,302,31,8,25-31,45-80,65/80,Single,0,0,0
Kombow,296,36,8.75,27-33,50-80,65/80,Single,0,0,0
Non Typical XL,280,41,9.5,28-35,50-70,65/80,Single,0,0,0
SBD,305,31,6.88,24-30,25-70,65/80,Single,0,0,0
Tominator II,305,34,6.88,24-31,40-80,65/80,Single,0,0,0
Trophy Rac Plus,310,35.75,7.25,25-31,50-80,65/80,Single,0,0,0
-,Storm
F-14,304,34,7.25,26-30,50-70,65-80,Single,0,0,0
F-16,303,32,7.25,25-29,50-70,65-80,Single,0,0,0
F-2,297,31,8,26-30,30-70,65-80,Single,0,0,0
F-24,310,39,7,25-29,40-70,65,Twin,0,0,0
F-26,294,40,7.5,27-31,40-70,65-80,Single,0,0,0
F-28,309,36,7.25,26-30,50-70,65-80,Single,0,0,0
F-4,300,35,7.5,26-30,40-70,65,Twin,0,0,0
F-6,305,32,8,25-29,40-70,65-80,Single,0,0,0
F-8 ,296,36,8.25,28-32,50-70,65-80,Single,0,0,0
-,EOF
