*,2022 Shafts
=,MFG,MDL,SIZE,USE,OD,STKLEN,SPINE,GPI,PI,BPC,STDN
-,ABC
Nitro Stinger,Orange-pre12,BCd,0.328,0,0.45,8.1,22,5.1,12
Nitro Stinger,Green-pre12,BCd,0.328,0,0.4,8.4,22,5.1,12
Nitro Stinger,Gold-pre12,BCd,0.328,0,0.3,8.9,22,5.1,12
395 Magnum,White,TCd,0.395,0,0.55,7.1,44.4,4,12
395 Magnum,Yellow,TCd,0.395,0,0.45,7.5,44.4,4,12
395 Magnum,Blue,TCd,0.395,0,0.4,8,44.4,4,12
395 Magnum,Orange,TCd,0.395,0,0.33,8.1,44.4,8,12
395 Magnum,Green,TCd,0.395,0,0.3,8.4,44.4,8,12
Traditional,Lite-pre12,HCd,0.328,0,0.45,9.5,22,0,12
Traditional,Trad-pre12,HCd,0.328,0,0.4,11,22,0,12
GX Maxima,8,TCd,0.266,0,0.375,6,22,5.2,12
GX Maxima,9,TCd,0.268,0,0.325,7,22,5.2,12
-,Aurel
Agnis,1416,BA,0.219,31,1.657,7.3,0,1.3,12
Agnis,1516,BA,0.234,31,1.313,7.9,0,3,12
Agnis,1616,BA,0.25,31,1.04,8.5,0,4.3,12
Agnis,1716,BA,0.266,31,0.868,8.8,0,6,12
Agnis,1816,BA,0.281,31,0.728,9.2,0,6,12
Agnis,1916,BA,0.297,31,0.652,9.8,0,8.5,12
Agnis,2016,BA,0.313,31,0.52,10.3,0,12.6,12
Agnis,2116,BA,0.328,31,0.456,10.8,0,15,12
Agnis,2216,BA,0.344,31,0.406,11.6,0,17.5,12
Mantis,750,BC,0.31,33,0.75,11.7,0,10,12
TriosX,500,BC,0.287,33,0.5,7.7,0,0,12
TriosX,500-B,BC,0.287,33,0.5,7.7,0,10,12
Agil,700,BC,0.279,33,0.7,5.1,0,0,12
Agil,600,BC,0.281,33,0.6,5.6,0,0,12
Agil,500,BC,0.284,33,0.5,6.1,0,0,12
Agil,400,BC,0.292,33,0.4,7.3,0,0,12
Agil,300,BC,0.297,33,0.3,8.4,0,0,12
Agil,700-PB,BC,0.279,33,0.7,5.1,0,10,5
Agil,600-PB,BC,0.281,33,0.6,5.6,0,10,5
Agil,500-PB,BC,0.284,33,0.5,6.1,0,10,5
Agil,400-PB,BC,0.292,33,0.4,7.3,0,10,5
Agil,300-PB,BC,0.297,33,0.3,8.4,0,10,5
Mako,1300,BC,0.205,33,1.3,4.3,0,0,12
Mako,1100,BC,0.208,33,1.1,4.8,0,0,12
Mako,1000,BC,211,33,1,5.2,0,0,12
Mako,900,BC,0.212,33,0.9,5.4,0,0,12
Mako,800,BC,0.217,33,0.8,5.9,0,0,12
Mako,700,BC,0.22,33,0.7,6.5,0,0,12
Mako,600,BC,0.226,33,0.6,7.2,0,0,12
Mako,500,BC,0.233,33,0.5,8.2,0,0,12
Mako,400,BC,0.239,33,0.4,9.1,0,0,12
Mako,350,BC,0.248,33,0.35,10.2,0,0,12
Mako,1300-PB,BC,0.205,33,1.3,4.3,0,7,5
Mako,1100-PB,BC,0.208,33,1.1,4.8,0,7,5
Mako,1000-PB,BC,211,33,1,5.2,0,7,5
Mako,900-PB,BC,0.212,33,0.9,5.4,0,7,5
Mako,800-PB,BC,0.217,33,0.8,5.9,0,7,5
Mako,700-PB,BC,0.22,33,0.7,6.5,0,7,5
Mako,600-PB,BC,0.226,33,0.6,7.2,0,7,5
Mako,500-PB,BC,0.233,33,0.5,8.2,0,7,5
Mako,400-PB,BC,0.239,33,0.4,9.1,0,7,5
Mako,350-PB,BC,0.248,33,0.35,10.2,0,7,5
Oryx,1300,BC,0.205,33,1.3,4.3,0,0,12
Oryx,1100,BC,0.208,33,1.1,4.8,0,0,12
Oryx,1000,BC,211,33,1,5.2,0,0,12
Oryx,900,BC,0.212,33,0.9,5.4,0,0,12
Oryx,800,BC,0.217,33,0.8,5.9,0,0,12
Oryx,700,BC,0.22,33,0.7,6.5,0,0,12
Oryx,600,BC,0.226,33,0.6,7.2,0,0,12
Oryx,500,BC,0.233,33,0.5,8.2,0,0,12
Oryx,400,BC,0.239,33,0.4,9.1,0,0,12
Oryx,350,BC,0.248,33,0.35,10.2,0,0,12
Oryx,1300-PB,BC,0.205,33,1.3,4.3,0,7,5
Oryx,1100-PB,BC,0.208,33,1.1,4.8,0,7,5
Oryx,1000-PB,BC,211,33,1,5.2,0,7,5
Oryx,900-PB,BC,0.212,33,0.9,5.4,0,7,5
Oryx,800-PB,BC,0.217,33,0.8,5.9,0,7,5
Oryx,700-PB,BC,0.22,33,0.7,6.5,0,7,5
Oryx,600-PB,BC,0.226,33,0.6,7.2,0,7,5
Oryx,500-PB,BC,0.233,33,0.5,8.2,0,7,5
Oryx,400-PB,BC,0.239,33,0.4,9.1,0,7,5
Oryx,350-PB,BC,0.248,33,0.35,10.2,0,7,5
UHYRE,800,TC,0.203,33,0.8,4.5,0,0,12
UHYRE,750,TC,0.204,33,0.75,4.5,0,0,12
UHYRE,700,TC,0.207,33,0.7,4.8,0,0,12
UHYRE,650,TC,0.208,33,0.65,5,0,0,12
UHYRE,600,TC,0.21,33,0.6,5.3,0,0,12
UHYRE,550,TC,0.212,33,0.55,5.6,0,0,12
UHYRE,500,TC,0.214,33,0.5,6,0,0,12
UHYRE,450,TC,0.218,33,0.45,6.4,0,0,12
UHYRE,400,TC,0.221,33,0.4,6.9,0,0,12
-,Beman
ICS Precision Hunter,500,BC,0.287,31,0.5,7.3,21,0,13
ICS Precision Hunter,400,BC,0.294,31.5,0.4,8.4,21,0,13
ICS Precision Hunter,340,BC,0.298,32,0.34,9.3,21,0,13
ICS Precision Hunter,300,BC,0.3,32.5,0.3,9.5,21,0,13
ICS Hunter Classic,500,BC,0.287,31,0.5,7.3,21,0,13
ICS Hunter Classic,400,BC,0.294,31.5,0.4,8.4,21,0,13
ICS Hunter Classic,340,BC,0.298,32,0.34,9.3,21,0,13
ICS Hunter Classic,300,BC,0.3,32.5,0.3,9.5,21,0,13
ICS BowHunter,500,HC,0.287,31,0.5,7.3,21,0,13
ICS BowHunter,400,HC,0.294,31.5,0.4,8.4,21,0,13
ICS BowHunter,340,HC,0.298,32,0.34,9.3,21,0,13
ICS BowHunter,300,HCd,0.3,32.5,0.3,9.5,21,0,13
ICS Indigo,500,HC,0.287,31,0.5,7.3,21,0,13
