*,2022 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,APA
King Cobra DG,365,32.875,5.44,24.0-30.0,50-100,80,Twin,0,0,0
BlackMamba 36,345,36,6.875,26.5-32.5,50-80,75,Twin,0,0,0
King Cobra MT,370,33.375,5.3125,24.0-30.0,50-90,80,Twin,0,0,0
Mamba 35,345,35,7.375,26.0-32.0,50-80,75,Twin,0,0,0
Mamba 38,340,37.875,7,27.0-33.0,50-80,75,Twin,0,0,0
Mamba 33,345,33.375,6.875,26-32,50-90,80,Twin,0,0,0
Mamba 31,350,31,6.75,25.0-31.0,50-80,80,Twin,0,0,0
Mamba 28,350,28,7.125,24.5-30.0,50-80,80,Twin,0,0,0
Mamba Air,340,28,7.5,25.0-30.0,50-70,80,Twin,0,0,0
Pit Viper Air,320,27.5,7.5,23.5-30.5,30-60,80,Single,0,0,0
-,Athens
Vista 31,340,31.0,6.5,24.5-30.5,30-70,80-90,Binary2,0,0,0
Vista 33,335,33.0,6.5,25-31,30-70,80-90,Binary2,0,0,0
Vista 35,330,35.0,6.5,25.5-31.5,40-80,80-90,Binary2,0,0,0
Peak 38,330,38,7,27.5-33.5,40-70,80-90,Binary2,0,0,0
-,Barnsdale
Addiction,305-308,38,7.875,27-32,50-70,80,Binary1,0,0,0
Classic-X 36,292-302,36,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 38,290-300,38,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 40,286-296,40,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 42,282-292,42,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 44,278-288,44,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 46,274-284,46,9.125,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 43,280-290,43.5,8.25,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 45,276-286,45.5,8.75,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 47,272-282,47.5,9.75,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 36,294-304,36,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 38,292-302,38,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 40,288-298,40,8.25,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 42,284-294,42,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 44,280-290,44,8.5,25-31,30-70,55/65/75,Twin,0,0,0
