*,2008 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
Silverado,328,31.0,7.25,27-30,50-70,75,Binary2,0,0,0
Silverado Sabre,320,35.0,6.875,27-30,50-70,80,Binary2,0,0,0
Silverado Ventura,320,35.0,7.75,27-31,50-70,80,Binary2,0,0,0
Silverado Eclipse,335,31.0,6.75,23-26,30-60,75,Binary1,0,0,0
Silverado Sienna,335,31.0,6.75,23-26,30-60,75,Binary1,0,0,0
Pro Comp 3D Target,325,34.0,7.0,27-30,50-70,80,Binary2,0,0,0
Frontier,300,35.0,7.25,26-30,40-70,80,Single,0,0,0
Micro Youth,280-300,32.0,6.0,21-28,20-50,65,Twin,0,0,0
Micro Elite Youth,280-300,32,6.0,21-28,20-50,65,Twin,0,0,0
-,Alternative
eXact Barnsdale,302,40.25,7.0,24-31,30-70,58,Twin,0,0,0
eXact K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
eXact B136,315,36.5,7.0,24-31,30-70,60-80,Single,0,0,0
eXact SS36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact SM36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact TS36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact TM36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
eXact B139,312,39.0,7.5,24-31,30-70,60-80,Single,0,0,0
eXact SS39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact SM39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact TS39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
eXact TM39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CG SS36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG SM36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG TS36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG TM36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CG SS39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG SM39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG TS39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG TM39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CL K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL SS36,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL SM36,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL TS36,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL TM36,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL SS39,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL SM39,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL TS39,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL TM39,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
-,APA
Black Mamba X1,355,35.875,5.5,50-80,24.5-30,70,Twin,0,0,0
Black Mamba X2,342,33.875,7.0625,50-80,25-30,70,Twin,0,0,0
Python XP,315,38.25,7.75,50-70,26-31,80,Single,0,0,0
Black Mamba XL,328,37.25,8.0,50-80,26-31,70,Twin,0,0,0
Boa,3328,34.875,6.75,50-70,25-30,80,Single,0,0,0
Python X,315,38.25,7.75,50-80,26-31,80,Single,0,0,0
-,Archery Research
AR32,300-308,32.75,8.0,26-30,60-70,65/75,Hybrid,0,0,0
AR35,306-314,35.5,7.25,26-30,60-70,65/75,Hybrid,0,0,0
AR35 SD,286-294,34.0,6.5,23-27,40-70,75,Hybrid,0,0,0
Velocity,312-320,34.0,6.5,26-30,60-70,65/80,Hybrid,0,0,0
-,Barnsdale
Redman 38,272-282,38.0,8.0,27-31,50-70,58,Twin,0,0,0
Redman 42,268-278,42.0,8.5,27-31,50-70,58,Twin,0,0,0
Redman 46,262-272,46.0,9.25,27-31,50-70,58,Twin,0,0,0
Classic-X 36,292-302,36.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 38,290-300,38.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 40,286-296,40.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 42,282-292,42.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 44,278-288,44.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 46,274-284,46.0,9.125,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 43,280-290,43.5,8.25,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 45,276-286,45.5,8.75,27-33,30-70,55/65/75,Twin,0,0,0
Classic-X 47,272-282,47.5,9.75,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 36,294-304,36.0,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 38,292-302,38.0,7.5,22-25,30-70,55/65/75,Twin,0,0,0
Ultimate-X 40,288-298,40.0,8.25,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 42,284-294,42.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 44,280-290,44.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 46,276-286,46.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Ultimate-X 43,282-292,43.5,8.0,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 45,278-288,45.5,8.5,27-33,30-70,55/65/75,Twin,0,0,0
Ultimate-X 47,274-284,47.5,9.5,27-33,30-70,55/65/75,Twin,0,0,0
-,BassPro
RedHead Kryptik,312-315,33.25,7.25,28-30,50-70,65-80,Single,0,0,0
RedHead XSC-33,305,32.25,7.625,27-30,60-70,80,Single,0,0,0
RedHead XP-32,300,31.5,7.25,27-30,60-70,75,Hybrid,0,0,0
RedHead XP-35,302,35.0,7.25,27-30,60-70,75,Hybrid,0,0,0
-,Bear
Truth,314-318,33.0,7.0,24-30,50-70,80,Single,0,0,0
DoneDeal,307-311,32.25,7.25,24-30,50-70,80,Single,0,0,0
GameOver,301-305,33.0,7.875,25-31,50-70,80,Single,0,0,0
LightsOut,296-300,30.0,8.75,25-31,50-70,80,Single,0,0,0
ShowDown,286-296,31.75,8.75,25-31,50-70,80,Single,0,0,0
Odyssey II,287-334,32,5.5,13-27,40-50,70,Twin,0,0,0
Pioneer II,287-334,32,5.5,13-27,30,70,Twin,0,0,0
-,BladeRunner
A-51,305-315,26.0,7.25,26-32,40-70,65-75,Twin,0,0,0
ISO Force,310-320,26.0,7.25,26-32,40-70,65,Twin,0,0,0
-,BowTech
General Speed,307-315,31.2,8.25,26-30,40-70,65-80,Binary2,0,0,0
General Smooth,300-308,31.2,8.25,26-30,40-70,65-80,Binary1,0,0,0
Commander Speed,310-318,37.5,8.0,26.5-31.5,40-70,65-80,Binary2,0,0,0
