*,2012 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
Yukon,324,36.5.0,7.375,29-32,50-70,80,Hybrid,0,0,0
Nitrous,320,33.25,7.25,28-31,50-70,80,Hybrid,0,0,0
F1 Fireball,337,34.0,6.125,27-30,50-70,80,Binary1,0,0,0
Concord Infinity,315,40.0,8.125,27-31,50-70,75,Hybrid,0,0,0
Concord Target,315,40.0,8.125,27-31,50-70,75,Hybrid,0,0,0
Blush,290-320,30.0,6.25,24-27,30-50,80,Hybrid,0,0,0
Lil Guff,260-290,28.0,6.00,17-23,10-35,65,Hybrid,0,0,0
Ruckus,270-300,30.75,6.00,22-28,50,65,Hybrid,0,0,0
F2 Liberator,315,30.0,6.50,27-30,50-70,80,Binary1,0,0,0
Frenzy Camo,280-305,30.75,6.50,24-30,60,65,Hybrid,0,0,0
Frenzy Target,280-305,30.75,6.50,24-30,60,65,Hybrid,0,0,0
-,Alternative
eXact Barnsdale,302,40.25,7.0,24-31,30-70,58,Twin,0,0,0
eXact K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
eXact B136,315,36.5,7.0,24-31,30-70,60-80,Single,0,0,0
eXact SS36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact SM36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact TS36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact TM36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
eXact B139,312,39.0,7.5,24-31,30-70,60-80,Single,0,0,0
eXact SS39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact SM39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact TS39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
eXact TM39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CG SS36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG SM36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG TS36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG TM36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CG SS39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG SM39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG TS39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG TM39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CL K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL SS36,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL SM36,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL TS36,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL TM36,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL SS39,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL SM39,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL TS39,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL TM39,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
-,APA
Viper V7,332,31.25,7.0,23.5-30.5,50-70,80,Single,0,0,0
Mamba M7,344,32.25,7.0,26.0-31.0,50-70,75,Twin,0,0,0
Mamba M6,355,32.25,6.125,24.0-30.0,50-70,75,Twin,0,0,0
King Cobra He,362,34.0,5.0625,24-30,50-70,75,Twin,0,0,0
Sidwinder He1,318,29.0,7.125,23.5-30.5,40-70,80,Single,0,0,0
Sidwinder He2,333,30.0,7.0,25.5-30.5,40-70,75,Twin,0,0,0
Viper XLr35,320,35.0,7.75,25-32,50-70,80,Single,0,0,0
Mamba XLr36,340,36.0,7.25,26.0-32.0,50-70,80,Twin,0,0,0
Viper XL39,318,39.0,7.0,26-33,50-70,75,Single,0,0,0
Mamba XL39,335,39.0,7.25,27.0-33.0,50-70,75,Twin,0,0,0
-,Athens
HGO R120,330-335,32.0,7.0,25.0-30.0,40-70,65-80,Binary1,0,0,0
Recluse,330-335,32.0,7.0,25.0-30.0,40-70,65-80,Binary1,0,0,0
Accomplice32,330,32.0,7.0,25.0-30.0,40-70,65-80,Binary1,0,0,0
Accomplice34,330,34.0,7.0,25.5-30.5,40-70,65-80,Binary1,0,0,0
Afflixtion,337,35.0,6.5,25.0-30.0,30-70,65-80,Binary1,0,0,0
Ibex,335-340,30.0,7.0,24.5-29.5,40-70,65-80,Binary1,0,0,0
Exceed300,330-335,37.0,7.0,26.0-31.0,40-70,65-80,Binary1,0,0,0
eXcell,310-315,41.0,8.0,27.0-33.0,40-70,65-80,Binary1,0,0,0
-,Barnsdale
Addiction,305-308,38.0,7.875,27-32,50-70,80,Binary1,0,0,0
Classic-X 36,292-302,36.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
