*,2009 Bows
=,MFG,MDL,IBO,A2A,BH,DL,DW,PLO,CAM,STR,CBL,CTL
-,Alpine
Jim Shockey,320,35.0,7.75,28-31,50-70,80,Binary2,0,0,0
Jim Shockey Mini,320,36.0,7.25,26-29,50-70,75,Binary2,0,0,0
Silverado Sabre,328,34.0,7.0,28-31,50-70,80,Binary1,0,0,0
Silverado,328,31.0,7.25,27-30,50-70,75,Binary1,0,0,0
Silverado Match,328,31.0,7.25,27-30,50-70,75,Binary1,0,0,0
Silverado Ventura,324,36.5,7.375,28-31,50-70,80,Binary1,0,0,0
Silverado Ventura Mini,320,36.0,7.25,26-29,50-70,75,Binary2,0,0,0
Silverado Ventura Target Mini,320,36.0,7.25,26-29,50-70,75,Binary2,0,0,0
Silverado Eclipse Mini,335,31.0,6.75,24-27,50-70,75,Binary1,0,0,0
Silverado Sienna,335,31.0,6.75,23-26,30-60,75,Binary1,0,0,0
Frontier,300,35.0,7.25,26-30,40-70,80,Single,0,0,0
Micro Youth,280-300,32.0,6.0,21-28,20-50,65,Twin,0,0,0
Micro Elite Youth,280-300,32,6.0,21-28,20-50,65,Twin,0,0,0
-,Alternative
eXact Barnsdale,302,40.25,7.0,24-31,30-70,58,Twin,0,0,0
eXact K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
eXact B136,315,36.5,7.0,24-31,30-70,60-80,Single,0,0,0
eXact SS36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact SM36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
eXact TS36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact TM36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
eXact K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
eXact B139,312,39.0,7.5,24-31,30-70,60-80,Single,0,0,0
eXact SS39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact SM39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
eXact TS39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
eXact TM39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CG SS36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG SM36,313,36.5,7.0,24-31,30-70,65/71,Single,0,0,0
CG TS36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG TM36,313,36.5,7.0,24-31,30-70,71,Twin,0,0,0
CG K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CG SS39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG SM39,310,39.0,7.5,24-31,30-70,65/71,Single,0,0,0
CG TS39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CG TM39,310,39.0,7.5,24-31,30-70,71,Twin,0,0,0
CL K236,310,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL SS36,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL SM36,313,36.5,7.0,24-31,30-70,58,Single,0,0,0
CL TS36,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL TM36,313,36.5,7.0,24-31,30-70,58,Twin,0,0,0
CL K239,307,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL SS39,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL SM39,310,39.0,7.5,24-31,30-70,58,Single,0,0,0
CL TS39,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
CL TM39,310,39.0,7.5,24-31,30-70,58,Twin,0,0,0
-,Anderson Bow Company
Crow LTD,300,31.0,8.0,24-30,30-70,75,Hybrid,0,0,0
Crow,300,31.0,8.0,24-30,30-70,75,Hybrid,0,0,0
Crow XL,310,36.5,6.375,24-31,30-70,75,Hybrid,0,0,0
-,APA
King Cobra,362,34.0,5.0625,25-30,50-80,75,Twin,0,0,0
Black Mamba MX1,352,34.0,6.125,25-30,50-80,75,Twin,0,0,0
Black Mamba MX2,340,32.0,7.375,26-31,50-80,75,Twin,0,0,0
Black Mamba XL,328,37.25,8.0,27-32,50-80,70,Twin,0,0,0
Viper,320,31.25,7.5625,25-30,50-80,70,Single,0,0,0
Boa,328,34.875,6.75,25-30,50-80,80,Single,0,0,0
Python X,315,38.25,7.75,26-31,50-70,80,Single,0,0,0
-,Athens
Accomplice32,330,32.0,7.0,27-30,40-80,80,Binary2 ,0,0,0
Accomplice34,330,34.0,7.0,27-30,40-80,80,Binary2 ,0,0,0
-,Barnsdale
Redman 38,272-282,38.0,8.0,27-31,50-70,58,Twin,0,0,0
Redman 42,268-278,42.0,8.5,27-31,50-70,58,Twin,0,0,0
Redman 46,262-272,46.0,9.25,27-31,50-70,58,Twin,0,0,0
Classic-X 36,292-302,36.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 38,290-300,38.0,7.75,22-25,30-70,55/65/75,Twin,0,0,0
Classic-X 40,286-296,40.0,8.5,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 42,282-292,42.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 44,278-288,44.0,8.75,25-31,30-70,55/65/75,Twin,0,0,0
Classic-X 46,274-284,46.0,9.125,25-31,30-70,55/65/75,Twin,0,0,0
